problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_2D_631g,234853455,16,22529,127024320,LIST,1740,1251,1796,197702645,14.3591,6.05411,1.08872,0,1.30118e+06
H4_3D_631g,5,17,34481,297303496,LIST,2553,1463,2602,451181494,39.5108,18.4493,1.48932,0,3.24873e+06
H4_3D_631g,1736,17,34481,297303496,LIST,2548,1460,2598,450641859,39.1292,19.9895,1.49005,0,3.24873e+06
H4_3D_631g,340955,17,34481,297303496,LIST,2558,1465,2614,451546136,40.2092,27.9506,1.50507,0,3.24873e+06
H4_3D_631g,82674392,17,34481,297303496,LIST,2558,1467,2617,451727077,42.0167,18.6463,1.6449,0,3.24872e+06
H4_3D_631g,234853455,17,34481,297303496,LIST,2550,1463,2599,450557721,41.3433,19.8745,1.55971,0,3.24873e+06
H4_1D_631g,5,18,42449,450624984,LIST,3160,1619,3213,688484473,73.285,31.1349,1.9755,0,4.52098e+06
H4_1D_631g,1736,17,42449,450624984,LIST,3142,1608,3196,685806739,74.0382,33.0154,1.95338,0,4.52097e+06
H4_1D_631g,340955,18,42449,450624984,LIST,3176,1630,3227,690204883,73.5851,43.0745,1.94309,0,4.52098e+06
H4_1D_631g,82674392,18,42449,450624984,LIST,3162,1621,3213,688283146,72.6066,29.6721,1.91318,0,4.52098e+06
H4_1D_631g,234853455,17,42449,450624984,LIST,3163,1616,3215,690473798,73.0832,30.9272,1.94683,0,4.52098e+06
