problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H2_6311g,234853455,1,225,12688,RANDOM,28,10,73,12652,0.000834074,7.1454e-05,0.000112431,0,792
H4_3D_sto3g,5,2,449,51168,RANDOM,81,22,179,59233,0.00473532,0.000610745,0.000301766,0,1056
H4_3D_sto3g,1736,3,449,51168,RANDOM,92,31,167,61337,0.00444421,0.000646812,0.000343955,0,1056
H4_3D_sto3g,340955,3,449,51168,RANDOM,93,31,172,61917,0.00446898,0.000651362,0.000342121,0,1056
H4_3D_sto3g,82674392,3,449,51168,RANDOM,91,31,169,60723,0.00456832,0.000634231,0.000346108,0,1056
H4_3D_sto3g,234853455,3,449,51168,RANDOM,94,31,168,62407,0.00448569,0.000690294,0.00034664,0,1056
H4_2D_sto3g,5,3,657,109224,RANDOM,126,32,169,114387,0.0103535,0.00115061,0.000477696,0,2112
H4_2D_sto3g,1736,2,657,109224,RANDOM,114,23,192,111953,0.0103141,0.000991009,0.000435998,0,2112
H4_2D_sto3g,340955,2,657,109224,RANDOM,113,23,191,110872,0.010311,0.00096491,0.000426611,0,2112
H4_2D_sto3g,82674392,2,657,109224,RANDOM,113,23,193,110919,0.0101682,0.000972133,0.000423285,0,2112
H4_2D_sto3g,234853455,2,657,109224,RANDOM,113,23,189,111488,0.0102749,0.000985888,0.000422773,0,2112
H4_1D_sto3g,5,2,689,120264,RANDOM,118,24,196,124976,0.0112108,0.0010703,0.000472366,0,2376
H4_1D_sto3g,1736,2,689,120264,RANDOM,117,24,186,124018,0.0111355,0.00106993,0.000465773,0,2376
H4_1D_sto3g,340955,2,689,120264,RANDOM,118,24,194,124763,0.0113168,0.00108766,0.00046361,0,2376
H4_1D_sto3g,82674392,2,689,120264,RANDOM,117,24,182,124255,0.0110789,0.00107658,0.000464711,0,2376
H4_1D_sto3g,234853455,2,689,120264,RANDOM,117,24,186,124638,0.0112221,0.00112116,0.00046909,0,2420
H6_3D_sto3g,5,4,8721,19178632,RANDOM,1429,54,1457,5732613,3.21093,0.0455884,0.00790801,0,81392
H6_3D_sto3g,1736,4,8721,19178632,RANDOM,1439,54,1464,5759636,3.20926,0.0456567,0.00797325,0,81592
H6_3D_sto3g,340955,4,8721,19178632,RANDOM,1435,54,1462,5747884,3.21475,0.0458108,0.00787257,0,81376
H6_3D_sto3g,82674392,4,8721,19178632,RANDOM,1428,54,1451,5722848,3.1956,0.0448727,0.00786437,0,81300
H6_3D_sto3g,234853455,4,8721,19178632,RANDOM,1436,54,1459,5752495,3.26975,0.0465574,0.00796062,0,81364
H6_2D_sto3g,5,4,18137,82641188,RANDOM,2949,58,2990,14262204,15.2156,0.122749,0.0174406,0,168376
H6_2D_sto3g,1736,4,18137,82641188,RANDOM,2935,58,2979,14211596,15.0295,0.122962,0.0171555,0,168336
H6_2D_sto3g,340955,4,18137,82641188,RANDOM,2940,58,2981,14227447,15.1688,0.123055,0.0171334,0,168560
H6_2D_sto3g,82674392,4,18137,82641188,RANDOM,2927,58,2966,14188736,15.0625,0.123063,0.0171224,0,168392
H6_2D_sto3g,234853455,4,18137,82641188,RANDOM,2944,58,2980,14240113,15.1207,0.122543,0.0173916,0,168340
H6_1D_sto3g,5,4,19025,90853544,RANDOM,3087,58,3131,14987972,16.726,0.127309,0.0178155,0,176564
H6_1D_sto3g,1736,4,19025,90853544,RANDOM,3069,58,3109,14911935,16.6599,0.125103,0.0178823,0,176500
H6_1D_sto3g,340955,4,19025,90853544,RANDOM,3071,58,3108,14937564,16.5887,0.12746,0.0179936,0,176384
H6_1D_sto3g,82674392,4,19025,90853544,RANDOM,3073,58,3115,14934071,16.9022,0.125947,0.0179159,0,176748
H6_1D_sto3g,234853455,4,19025,90853544,RANDOM,3067,58,3107,14915891,16.5643,0.12566,0.0178986,0,176912
H4_2D_631g,5,4,22529,127024320,RANDOM,3617,61,3649,19593046,24.9175,0.179008,0.0226907,0,209588
H4_2D_631g,1736,4,22529,127024320,RANDOM,3632,61,3677,19639997,24.8964,0.181899,0.0225437,0,209388
H4_2D_631g,340955,4,22529,127024320,RANDOM,3629,61,3678,19630986,24.9982,0.179837,0.0226574,0,209836
H4_2D_631g,82674392,4,22529,127024320,RANDOM,3626,61,3668,19612671,24.92,0.179981,0.0224798,0,209492
H4_2D_631g,234853455,4,22529,127024320,RANDOM,3614,61,3655,19585135,24.921,0.178691,0.0223708,0,209560
H4_3D_631g,5,5,34481,297303496,RANDOM,5539,71,5560,30873872,59.2801,0.307539,0.0346526,0,320492
H4_3D_631g,1736,4,34481,297303496,RANDOM,5514,62,5564,30830524,59.6706,0.288159,0.0340995,0,320460
H4_3D_631g,340955,4,34481,297303496,RANDOM,5515,62,5574,30819847,59.1375,0.288937,0.0350459,0,320492
H4_3D_631g,82674392,4,34481,297303496,RANDOM,5519,62,5571,30850932,60.1161,0.285894,0.0346206,0,319680
H4_3D_631g,234853455,5,34481,297303496,RANDOM,5525,71,5547,30829694,58.8075,0.285801,0.0342276,0,320252
H4_1D_631g,5,5,42449,450624984,RANDOM,6756,75,6777,41970872,92.6942,0.400994,0.0440612,0,394288
