problem,seed,nlevels,n,m,order_conf,tot_palsz,tot_lstsz,ncols,tot_conf_edges,tot_build_tm,tot_conf_tm,tot_assgn_tm,tot_inv_tm,mem
H4_3D_sto3g,5,8,449,51168,LIST,79,65,177,110259,0.00451978,0.00141917,0.000871377,0,1056
H4_3D_sto3g,1736,8,449,51168,LIST,79,64,178,110929,0.00452839,0.0014119,0.00084222,0,1056
H4_3D_sto3g,340955,9,449,51168,LIST,85,70,177,116614,0.00470126,0.00143421,0.000890147,0,1056
H4_3D_sto3g,82674392,8,449,51168,LIST,80,65,178,110399,0.00450837,0.00139824,0.000841959,0,1056
H4_3D_sto3g,234853455,8,449,51168,LIST,80,65,177,111165,0.00451401,0.00142968,0.000841809,0,1056
H4_3D_sto3g,5,5,449,51168,LIST,81,50,179,83780,0.00436178,0.00142381,0.000595437,0,1056
H4_3D_sto3g,1736,5,449,51168,LIST,81,50,179,81305,0.00425093,0.00140498,0.000583155,0,1056
H4_3D_sto3g,340955,5,449,51168,LIST,81,50,176,82904,0.00423085,0.0014229,0.000595235,0,1056
H4_3D_sto3g,82674392,5,449,51168,LIST,81,50,177,82918,0.00425874,0.00143233,0.000613781,0,1056
H4_3D_sto3g,234853455,5,449,51168,LIST,81,50,177,83006,0.00428607,0.00141253,0.000590428,0,1056
H4_3D_sto3g,5,4,449,51168,LIST,90,32,167,108909,0.00558062,0.00147166,0.00034142,0,1056
H4_3D_sto3g,1736,4,449,51168,LIST,90,32,168,108664,0.0054729,0.0015266,0.000337603,0,1056
H4_3D_sto3g,340955,4,449,51168,LIST,90,32,169,108497,0.0054716,0.00149576,0.000343173,0,1056
H4_3D_sto3g,82674392,4,449,51168,LIST,90,32,168,109457,0.0055103,0.00150467,0.000345707,0,1056
H4_3D_sto3g,234853455,4,449,51168,LIST,90,32,168,108986,0.00571676,0.00149067,0.00034214,0,1056
H4_3D_sto3g,5,4,449,51168,LIST,90,32,167,108909,0.0061204,0.00151393,0.000339997,0,1056
